cfg_scale,cut_npe,cut_firsttime,n_runs,mean_ers_score,mean_npe_log_mae,mean_time_mae,mean_active_dom_iou,fpd_like,cov_err,sep_power_npe,sep_power_time,mean_ers_term_npe_log,mean_ers_term_time_mae_norm,mean_ers_term_iou_penalty,mean_ers_term_npe_w1_norm,mean_ers_term_time_w1_norm,mean_ers_contrib_npe_log,mean_ers_contrib_time_mae_norm,mean_ers_contrib_iou_penalty,mean_ers_contrib_npe_w1_norm,mean_ers_contrib_time_w1_norm
0.0,1.0,300.0,80,0.5118260135853949,0.08215334363048896,1291.554833984375,0.005513647845954203,7261478.830648197,6618132.595136222,0.439565215938271,0.5030922664582319,0.08215334363048896,0.14552126158103534,0.9944863521540459,1.4616533431799972,0.3265442319318077,0.024646003089146686,0.036380315395258836,0.19889727043080918,0.21924800147699958,0.03265442319318077
0.0,1.0,400.0,80,0.510702804738464,0.08215334363048896,1306.6306884765625,0.005513647845954203,7260328.007041909,6603647.192072807,0.439565215938271,0.4388489281489867,0.08215334363048896,0.145918118618029,0.9944863521540459,1.4616533431799972,0.31432000087001305,0.024646003089146686,0.03647952965450725,0.19889727043080918,0.21924800147699958,0.031432000087001304
0.0,1.0,500.0,80,0.5087602348357663,0.08215334363048896,1290.6480224609375,0.005513647845954203,7233310.104091867,6587795.481527259,0.439565215938271,0.43640692578870716,0.08215334363048896,0.14302237621907432,0.9944863521540459,1.4616533431799972,0.30213365784042184,0.024646003089146686,0.03575559405476858,0.19889727043080918,0.21924800147699958,0.030213365784042184
0.0,1.0,600.0,80,0.5454104172124786,0.08351651611737906,1270.6572341918945,0.005282982214601671,6478100.835814741,6418530.129075157,0.4172867119639575,0.3413308907979456,0.08351651611737906,0.1320617236988836,0.9947170177853983,1.736115293396712,0.2797933388595755,0.02505495483521372,0.0330154309247209,0.19894340355707968,0.26041729400950675,0.027979333885957552
0.0,1.0,700.0,80,0.5455534347650272,0.08351651611737906,1329.990771484375,0.005282982214601671,6475818.724767575,6418733.196232086,0.4172867119639575,0.41963924904487815,0.08351651611737906,0.13733595199184728,0.9947170177853983,1.736115293396712,0.26803794365265166,0.02505495483521372,0.03433398799796182,0.19894340355707968,0.26041729400950675,0.026803794365265168
0.0,1.0,800.0,80,0.5462577495257069,0.08351651611737906,1390.2679962158204,0.005282982214601671,6471501.085987288,6413398.173389655,0.4172867119639575,0.359440558983165,0.08351651611737906,0.14178010110940203,0.9947170177853983,1.736115293396712,0.26397071846556236,0.02505495483521372,0.03544502527735051,0.19894340355707968,0.26041729400950675,0.026397071846556236
0.0,1.0,900.0,80,0.5452708244764486,0.08351651611737906,1409.6031921386718,0.005282982214601671,6466145.621240554,6404689.73499552,0.4172867119639575,0.4014030408978894,0.08351651611737906,0.14172931068092326,0.9947170177853983,1.736115293396712,0.2542284440441745,0.02505495483521372,0.035432327670230815,0.19894340355707968,0.26041729400950675,0.02542284440441745
0.0,1.0,1000.0,80,0.5435962841443172,0.08351651611737906,1427.2447784423828,0.005282982214601671,6455022.827484463,6381386.639663364,0.4172867119639575,0.47996003946013793,0.08351651611737906,0.13966831490053105,0.9947170177853983,1.736115293396712,0.24263553017384182,0.02505495483521372,0.034917078725132764,0.19894340355707968,0.26041729400950675,0.024263553017384185
0.0,1.5,0.0,80,0.6325115793269187,0.08268895285436884,1521.2427762349446,0.0074858708296468655,12796605.416587342,6069700.401277684,0.3237091881482807,0.9799999993188374,0.08268895285436884,0.23069049637151667,0.9925141291703531,1.6752786532173332,1.0023764556105839,0.02480668585631065,0.05767262409287917,0.19850282583407064,0.2512917979826,0.1002376455610584
0.0,1.5,0.1,80,0.5710657643698339,0.08268895285436884,1521.2427762349446,0.0074858708296468655,5635951.5404039025,6071273.96107587,0.3237091881482807,0.4569741362515046,0.08268895285436884,0.23069049637151667,0.9925141291703531,1.6752786532173332,0.3879183060397355,0.02480668585631065,0.05767262409287917,0.19850282583407064,0.2512917979826,0.03879183060397355
0.0,1.5,0.2,80,0.5710657643698339,0.08268895285436884,1521.2427762349446,0.0074858708296468655,5635951.5404039025,6071273.96107587,0.3237091881482807,0.4569741362515046,0.08268895285436884,0.23069049637151667,0.9925141291703531,1.6752786532173332,0.3879183060397355,0.02480668585631065,0.05767262409287917,0.19850282583407064,0.2512917979826,0.03879183060397355
0.0,1.5,0.3,80,0.5710657643698339,0.08268895285436884,1521.2427762349446,0.0074858708296468655,5635951.5404039025,6071273.96107587,0.3237091881482807,0.4569741362515046,0.08268895285436884,0.23069049637151667,0.9925141291703531,1.6752786532173332,0.3879183060397355,0.02480668585631065,0.05767262409287917,0.19850282583407064,0.2512917979826,0.03879183060397355
0.0,1.5,0.4,80,0.5710657643698339,0.08268895285436884,1521.2427762349446,0.0074858708296468655,5635951.5404039025,6071273.96107587,0.3237091881482807,0.4569741362515046,0.08268895285436884,0.23069049637151667,0.9925141291703531,1.6752786532173332,0.3879183060397355,0.02480668585631065,0.05767262409287917,0.19850282583407064,0.2512917979826,0.03879183060397355
0.0,1.5,100.0,80,0.5217852457983649,0.08165889469673857,1346.4223596909467,0.003834989359123515,7257732.131244544,6627785.799244589,0.4356307897081794,0.4726737960265063,0.08165889469673857,0.13041751776537797,0.9961650106408765,1.5434821255835636,0.3392787698228902,0.02449766840902157,0.03260437944134449,0.1992330021281753,0.23152231883753452,0.03392787698228902
0.0,1.5,200.0,80,0.5211646615782938,0.08165889469673857,1358.6289601045496,0.003834989359123515,7255673.105125106,6621088.260458604,0.4356307897081794,0.5023409916370837,0.08165889469673857,0.13144206442408365,0.9961650106408765,1.5434821255835636,0.33051156097541423,0.02449766840902157,0.032860516106020914,0.1992330021281753,0.23152231883753452,0.033051156097541425
0.0,1.5,300.0,80,0.5208488228675429,0.08165889469673857,1367.9034675149358,0.003834989359123515,7282260.200734864,6618776.813908582,0.4356307897081794,0.5030922664582319,0.08165889469673857,0.13176564119852274,0.9961650106408765,1.5434821255835636,0.3265442319318077,0.02449766840902157,0.032941410299630686,0.1992330021281753,0.23152231883753452,0.03265442319318077
0.0,1.5,400.0,80,0.5197583074906148,0.08165889469673857,1386.3727991440717,0.003834989359123515,7281030.850163531,6604268.6989628235,0.4356307897081794,0.4388489281489867,0.08165889469673857,0.13229327211552805,0.9961650106408765,1.5434821255835636,0.31432000087001305,0.02449766840902157,0.03307331802888201,0.1992330021281753,0.23152231883753452,0.031432000087001304
0.0,1.5,500.0,80,0.51783485488532,0.08165889469673857,1368.0072416417738,0.003834989359123515,7253877.858034873,6588382.139816198,0.4356307897081794,0.43640692578870716,0.08165889469673857,0.12947399890618555,0.9961650106408765,1.5434821255835636,0.30213365784042184,0.02449766840902157,0.03236849972654639,0.1992330021281753,0.23152231883753452,0.030213365784042184
0.0,1.5,600.0,80,0.5520597154068609,0.08287463595625014,1275.4417538113064,0.005221764767439785,6501968.861689128,6420875.0264930315,0.43425640886021705,0.3413308907979456,0.08287463595625014,0.12031917423898646,0.9947782352325601,1.8012170008517976,0.2797933388595755,0.02486239078687504,0.030079793559746614,0.19895564704651203,0.27018255012776965,0.027979333885957552
0.0,1.5,700.0,80,0.5522237090013439,0.08287463595625014,1341.4446953667534,0.005221764767439785,6499590.218810111,6421046.469411942,0.43425640886021705,0.41963924904487815,0.08287463595625014,0.1256773066996881,0.9947782352325601,1.8012170008517976,0.26803794365265166,0.02486239078687504,0.031419326674922025,0.19895564704651203,0.27018255012776965,0.026803794365265168
0.0,1.5,800.0,80,0.5529565579659832,0.08287463595625014,1408.540479871962,0.005221764767439785,6495253.155108463,6415712.57995257,0.43425640886021705,0.359440558983165,0.08287463595625014,0.1302355926330808,0.9947782352325601,1.8012170008517976,0.26397071846556236,0.02486239078687504,0.0325588981582702,0.19895564704651203,0.27018255012776965,0.026397071846556236
0.0,1.5,900.0,80,0.5519912637168718,0.08287463595625014,1430.0230441623264,0.005221764767439785,6489851.097245189,6406995.530790919,0.43425640886021705,0.4014030408978894,0.08287463595625014,0.13027132540519065,0.9947782352325601,1.8012170008517976,0.2542284440441745,0.02486239078687504,0.03256783135129766,0.19895564704651203,0.27018255012776965,0.02542284440441745
0.0,1.5,1000.0,80,0.5503374496852835,0.08287463595625014,1449.6224602593315,0.005221764767439785,6478735.1527882395,6383708.707166439,0.43425640886021705,0.47996003946013793,0.08287463595625014,0.12829323482697078,0.9947782352325601,1.8012170008517976,0.24263553017384182,0.02486239078687504,0.032073308706742694,0.19895564704651203,0.27018255012776965,0.024263553017384185
